obstacle,vertX,vertY
197,749.40485,712.1208
197,738.77484,712.3228
197,738.7749,699.90985
197,743.3304,699.56586
197,741.05237,657.66376
197,725.86707,657.8654
197,727.3856,699.72015
197,728.9041,699.5066
198,979.464,436.8682
198,1037.9283,478.3546
198,1055.3916,454.32425
198,996.168,412.84952
198,979.464,436.8682
199,635.5132,584.04156
199,691.6996,629.74084
199,689.4277,641.04364
199,703.09454,642.23047
199,704.60724,624.377
199,643.8649,573.71747
199,635.5132,584.04156
200,797.99756,472.20773
200,784.3307,489.77087
200,810.15137,509.3308
200,817.7441,498.37747
200,829.8924,506.2097
200,845.8319,484.39508
200,827.6094,470.4395
200,820.7758,480.6214
200,828.3686,486.75656
200,823.0537,493.44952
200,810.146,493.7937
200,802.5532,488.27554
200,807.86816,480.2179
200,797.99756,472.20773
201,792.6826,457.81317
201,804.07684,466.79944
201,865.5728,387.4663
201,853.4287,378.46115
201,792.6826,457.81317
202,911.8938,514.4806
202,911.8889,537.76044
202,927.0744,538.057
202,927.0743,529.99945
202,940.74646,549.0608
202,933.1538,549.2862
202,933.15393,564.25073
202,957.45056,563.3723
202,957.4404,533.27185
202,947.5697,533.52106
202,947.5747,542.5191
202,936.94495,526.4039
202,943.019,527.0091
202,943.02405,514.18365
202,911.8938,514.4806
203,687.14923,505.64108
203,781.29376,573.84784
203,791.16986,561.04736
203,697.0141,492.86813
203,687.14923,505.64108
204,727.39154,643.38104
204,738.7804,643.9508
204,747.89166,635.02673
204,802.5593,634.8483
204,802.55365,622.50214
204,743.33014,622.50214
204,734.9842,625.4975
204,727.3914,632.03625
204,727.39154,643.38104
205,848.8638,534.8022
205,848.8692,569.9555
205,869.36975,569.9672
205,870.89343,549.9275
205,863.3007,550.2835
205,879.23486,532.4054
205,879.24005,540.383
205,896.70337,539.82526
205,896.7035,516.57794
205,864.0545,516.8868
205,864.0545,527.60266
205,871.6474,527.6025
205,858.7397,542.02075
205,858.7344,534.44635
205,848.8638,534.8022
206,783.5722,755.32825
206,766.87415,755.74945
206,766.87396,765.19574
206,774.467,765.0174
206,774.46094,782.373
206,784.3315,781.95764
206,783.57806,773.5854
206,804.07855,772.65955
206,804.07855,763.5933
206,792.6894,763.9018
206,792.6833,744.933
206,783.57227,745.4076
206,783.5722,755.32825
207,766.8722,418.45343
207,776.74274,426.5112
207,760.793,448.08237
207,763.0762,466.0403
207,787.3676,483.83746
207,779.0211,494.66333
207,748.6448,473.71484
207,747.88544,445.10376
207,766.8722,418.45343
208,651.4638,551.54297
208,719.7926,604.6306
208,755.47845,603.432
208,766.8734,596.2926
208,774.46045,586.7708
208,763.07117,576.5653
208,753.20074,586.9487
208,728.9097,589.65924
208,662.0877,538.99475
208,651.4638,551.54297
209,865.57336,615.8922
209,865.5734,647.47003
209,948.3344,647.03076
209,948.3344,615.45294
209,865.57336,615.8922
210,617.2905,601.9488
210,612.7349,621.33923
210,612.74115,642.76514
210,615.0128,658.8743
210,621.08716,671.40564
210,628.68585,682.73315
210,635.51935,676.17065
210,707.6503,676.76324
210,707.63855,664.4699
210,635.50745,663.9114
210,628.6799,652.3
210,626.40796,639.193
210,627.9206,621.9444
210,630.9576,605.23566
210,617.2905,601.9488
211,1112.3373,526.48694
211,1112.3422,556.32263
211,1138.1573,556.097
211,1137.3933,540.4779
211,1129.8007,540.83405
211,1144.2268,525.9174
211,1144.2223,536.65485
211,1157.889,536.35815
211,1157.8982,510.3973
211,1126.768,511.28745
211,1127.5227,522.2741
211,1134.3562,522.33356
211,1122.2034,533.6878
211,1122.2079,526.22565
211,1112.3373,526.48694
212,1175.3574,612.10657
212,1175.3624,645.4196
212,1175.3574,612.10657
213,1175.3572,527.8278
213,1175.357,542.0564
213,1175.3572,527.8278
214,1078.175,560.5117
214,1078.9344,590.3335
214,1089.5642,590.26227
214,1098.6755,596.8722
214,1091.0828,596.5518
214,1091.0779,609.4483
214,1123.7267,608.8195
214,1123.7217,581.06024
214,1107.0225,581.3712
214,1107.0275,591.43695
214,1095.6334,583.436
214,1095.6334,574.21533
214,1101.7076,574.1919
214,1101.7124,559.8115
214,1078.175,560.5117
215,1131.3193,586.1537
215,1131.3193,600.75
215,1131.3193,586.1537
216,816.97906,346.69153
216,841.27576,316.5853
216,863.29474,316.92935
216,893.6658,340.40207
216,886.07306,350.83313
216,860.2617,331.23053
216,846.5948,330.5304
216,827.6091,355.35434
216,816.97906,346.69153
217,929.35205,457.33853
217,947.5745,434.93378
217,964.2786,449.83856
217,958.2091,459.6427
217,953.6488,456.2585
217,949.8523,453.36313
217,955.1674,474.34378
217,960.48224,467.72205
217,971.1122,476.68164
217,955.9266,493.4615
217,933.1483,475.47125
